name,time,records,calculations
pyOpenCl GPU,0:00:00.437048,40000000,100
PyOpenCl GPU,0:00:00.280104,40000000,30
PyOpenCl GPU,0:00:00.047959,4000000,100
PyOpenCl GPU,0:00:00.030747,4000000,30
PyOpenCl cpu,0:00:05.393185,40000000,100
PyOpenCl cpu,0:00:01.685490,40000000,30
PyOpenCl cpu,0:00:00.559763,4000000,100
PyOpenCl cpu,0:00:00.167965,4000000,30
PyPy Numpy,0:00:48.879085,40000000,100
PyPy Numpy,0:00:15.209005,40000000,30
PyPy Numpy,0:00:04.835523,4000000,100
PyPy Numpy,0:00:01.502199,4000000,30
